rxn_smiles,rxn_type,R,P,isDel
[O]OC(OC)C>>[CH2]C(OC)OO,2a-1_5mem,[O]OC(OC)C,[CH2]C(OC)OO,False
[O]OCCOC>>CO[CH]COO,1-2a_5mem,[O]OCCOC,CO[CH]COO,False
[O]OC(C)(OC)C>>[CH2]C(C)(OC)OO,3a-1_5mem,[O]OC(C)(OC)C,[CH2]C(C)(OC)OO,False
[O]OCC(C)OC>>CO[C](C)COO,1-3a_5mem,[O]OCC(C)OC,CO[C](C)COO,False
[O]OC(CC)OC>>C[CH]C(OC)OO,2a-2_5mem,[O]OC(CC)OC,C[CH]C(OC)OO,False
[O]OC(C)COC>>CO[CH]C(C)OO,2-2a_5mem,[O]OC(C)COC,CO[CH]C(C)OO,False
[O]OC(C)COC>>[CH2]C(COC)OO,2-1_5mem,[O]OC(C)COC,[CH2]C(COC)OO,False
[O]OC(OC)(C)CC>>C[CH]C(C)(OC)OO,3a-2_5mem,[O]OC(OC)(C)CC,C[CH]C(C)(OC)OO,False
[O]OC(OC)(C)CC>>[CH2]C(CC)(OC)OO,3a-1_5mem,[O]OC(OC)(C)CC,[CH2]C(CC)(OC)OO,False
[O]OC(OC)C(C)C>>COC(OO)[C](C)C,2a-3_5mem,[O]OC(OC)C(C)C,COC(OO)[C](C)C,False
[O]OC(C)C(C)OC>>[CH2]C(OO)C(C)OC,2-1_5mem,[O]OC(C)C(C)OC,[CH2]C(OO)C(C)OC,False
[O]OC(C)C(C)OC>>CO[C](C)C(C)OO,2-3a_5mem,[O]OC(C)C(C)OC,CO[C](C)C(C)OO,False
[O]OC(C)(C)COC>>CO[CH]C(C)(C)OO,3-2a_5mem,[O]OC(C)(C)COC,CO[CH]C(C)(C)OO,False
[O]OC(C)(C)COC>>[CH2]C(C)(COC)OO,3-1_5mem,[O]OC(C)(C)COC,[CH2]C(C)(COC)OO,False
[O]OC(C)(OC)C(C)C>>[CH2]C(OC)(OO)C(C)C,3a-1_5mem,[O]OC(C)(OC)C(C)C,[CH2]C(OC)(OO)C(C)C,False
[O]OC(C)(OC)C(C)C>>COC(C)(OO)[C](C)C,3a-3_5mem,[O]OC(C)(OC)C(C)C,COC(C)(OO)[C](C)C,False
[O]OC(C)(C)C(C)OC>>CO[C](C)C(C)(C)OO,3-3a_5mem,[O]OC(C)(C)C(C)OC,CO[C](C)C(C)(C)OO,False
[O]OC(C)(C)C(C)OC>>[CH2]C(C)(OO)C(C)OC,3-1_5mem,[O]OC(C)(C)C(C)OC,[CH2]C(C)(OO)C(C)OC,False
